"ОКУД
формы","ЦСОД/
СТАТЭК","Полное ведение (ПВ) /
Курирование",Краткое наименование,Отчетный период - за,"Дата получения каталога со статусом ""Итоговый"" в АС ГС ОФСН","Дата перевода каталога в ""Архивный"" статус","код отчётного
периода","ОКУД+Код
(формула)","Отчетная дата
(по бланку)","Период загрузки
отчетов (от)","Период загрузки
отчетов (до)","Рассылка 1
(дата)","Рассылка 2
(от)","Рассылка 2
(до)","Специалист отраслевого отдела
№ телефона, кабинет","Администратор БД от ОИРиТ
№ телефона, кабинет",Примечание
0601009,Ц,ПВ,1-предприятие,2024,28.12.2024,С 1 марта по 15 апреля 2025 года,01012024,060100901012024,15.04.2025,27.02.2025,15.06.2025,27.02.2025,09.04.2025,11.04.2025,"Чулочникова Н.А., т. 527, к. 431","Горячева Светлана Сергеевна, т. 303, к. 307",
0601011,Ц,ПВ,2-МП инновация,2024,#N/A,#N/A,01012024,060101101012024,15.04.2025,09.04.2025,20.05.2025,09.04.2025,10.04.2025,11.04.2025,,"Трушаева Наталья Ивановна, т. 320, к. 307",
0601013,С,ПВ,№ПМ,1 квартал 2025,не позднее 25.03.2025,,04012025,060101304012025,29.04.2025,01.04.2025,16.05.2025,01.04.2025,23.04.2025,25.04.2025,"Полиенко Оксана Ивановна, т. т. 522, к. к. 303","Рублёва Наталья Адольфовна, т. 322, к. 307",выборочная форма
0601013,С,ПВ,№ПМ,2 квартал 2025,#N/A,#N/A,04022025,060101304022025,29.07.2025,01.07.2025,14.08.2025,01.07.2025,23.07.2025,25.07.2025,"Полиенко Оксана Ивановна, т. т. 522, к. к. 303","Рублёва Наталья Адольфовна, т. 322, к. 307",выборочная форма
0601013,С,ПВ,№ПМ,3 квартал 2025,#N/A,#N/A,04032025,060101304032025,29.10.2025,01.10.2025,12.11.2025,01.10.2025,22.10.2025,24.10.2025,"Полиенко Оксана Ивановна, т. т. 522, к. к. 303","Рублёва Наталья Адольфовна, т. 322, к. 307",выборочная форма
0601013,С,ПВ,№ПМ,4 квартал 2025,#N/A,#N/A,04042025,060101304042025,29.01.2026,01.01.2026,13.02.2026,01.01.2026,26.01.2026,28.01.2026,"Полиенко Оксана Ивановна, т. т. 522, к. к. 303","Рублёва Наталья Адольфовна, т. 322, к. 307",выборочная форма
0601016,С,ПВ,МП(микро),2024,не позднее 25.12.2024,"с 1-го официального 
рабочего дня января 
по 5 февраля
",01012024,060101601012024,05.02.2025,09.01.2025,03.03.2025,1/10/2025,03.02.2025,04.02.2025,"Меньщикова Галина Николаевна, т. 515, к. 302","Рублёва Наталья Адольфовна, т. 322, к. 307",
0601018,С,ПВ,1-ИП,2024,не позднее 28.12.2024,"с 10 января по 2 марта
",01012024,060101801012024,02.03.2025,1/10/2025,01.04.2025,10.01.2025,26.02.2025,28.02.2025,"Курликовская Надежда Алексеевна, т. т. 511, к. 305","Рублёва Наталья Адольфовна, т. 322, к. 307",
0601022,Ц,К,Форма № 1-МО,2024,не позднее 28.12.2024,"с 20 апреля по 1 июня 
после отчетного периода
",01012024,060102201012024,02.06.2025,07.04.2025,31.07.2025,07.04.2025,28.05.2025,30.05.2025,"Волохова Е.А., т. 371-13-00 доб. 254, к. 423","Рублёва Наталья Адольфовна, т. 322, к. 307",
0601023,Ц,К,Приложение к форме № 1-МО,2024,не позднее 28.12.2024,с 1 апреля по 25 апреля после отчетного периода,01012024,060102301012024,25.04.2025,17.03.2025,30.04.2025,17.03.2025,22.04.2025,24.04.2025,"Волохова Е.А., т. 371-13-00 доб. 254, к. 423","Рублёва Наталья Адольфовна, т. 322, к. 307",
0601024,Ц,ПВ,МП(микро)-натура,2024,не позднее 28.12.2024,"с 1-го официального 
рабочего дня января 
по 25 января
",01012024,060102401012024,25.01.2025,09.01.2025,28.02.2025,1/13/2025,22.01.2025,24.01.2025,"Жигулева А.А, т. 509, к. 429",,
0602001,Ц,К,11,2024,#N/A,#N/A,01012024,060200101012024,01.04.2025,14.02.2025,01.04.2025,14.02.2025,3/26/2025,3/28/2025,"Покало Марина Владимировна, т. 356, к. 301б","Фаттахова Гульшат Гадынановна, т. 318, к. 307",
0602002,Ц,К,11 (краткая),2024,#N/A,#N/A,01012024,060200201012024,01.04.2025,14.02.2025,01.04.2025,2/20/2025,3/26/2025,3/28/2025,"Колбина Ольга Викторовна, т. 358, к. 301б","Фаттахова Гульшат Гадынановна, т. 318, к. 307",
0602003,Ц,К,11 (сделка),2024,#N/A,#N/A,01012024,060200301012024,7/1/2025,23.05.2025,7/1/2025,23.05.2025,6/25/2025,6/27/2025,"Ивлева Елена Викторовна, т. 352, к. 301а","Фаттахова Гульшат Гадынановна, т. 318, к. 307",по наличию явления; 2 рассылки
0602004,Ц,К,11- НА,2024,#N/A,#N/A,01012024,060200401012024,30.06.2025,23.05.2025,30.06.2025,23.05.2025,25.06.2025,27.06.2025,"Колбина Ольга Викторовна, т. 358, к. 301б","Фаттахова Гульшат Гадынановна, т. 318, к. 307",по наличию явления; 2 рассылки
0603023,Ц,К,2-соцподдержка,1 полугодие 2025,"
не позднее 27.06.2025",,02012025,060302302012025,15.07.2025,30.06.2025,21.07.2025,30.06.2025,09.07.2025,11.07.2025,"Антонова Надежда Андреевна, т. 2-86/IP 713, к. 504",,
0603023,Ц,К,2-соцподдержка,2 полугодие 2024,"
не позднее 30.12.2025",,02022025,060302302022025,2/10/2025,1/30/2025,2/17/2025,1/30/2025,2/6/2025,2/7/2025,"Антонова Надежда Андреевна, т. 2-86/IP 713, к. 504",,
0603023,Ц,К,2-соцподдержка,2 полугодие 2025,15.01.2026,02.02.2026,17.02.2026,02.02.2026,15.01.2026,02.02.2026,17.02.2026,02.02.2026,12.01.2026,14.01.2026,"Антонова Надежда Андреевна, т. 2-86/IP 713, к. 504",,
0603027,С,К,3-соцподдержка,2024,не позднее 13.12.2024,"с 1-го рабочего дня января по 10 февраля
после отчетного периода",01012024,060302701012024,10.02.2025,02.01.2025,14.02.2025,02.01.2025,05.02.2025,07.02.2025,"Антонова Надежда Андреевна, т. 2-86/IP 713, к. 504",,
0604011,Ц,ПВ,2-наука,2024,#N/A,#N/A,01012024,060401101012024,11.04.2025,02.04.2025,23.05.2025,02.04.2025,08.04.2025,10.04.2025,"Семухина Екатерина Григорьевна, т. 418, к. 301","Трушаева Наталья Ивановна, т. 320, к. 307",
0604012,Ц,К,2-наука (краткая),1 квартал 2025,не позднее 28.03.2025,,04012025,060401204012025,21.04.2025,01.04.2025,16.05.2025,01.04.2025,16.04.2025,18.04.2025,"Семухина Екатерина Григорьевна, т. 418, к. 302","Трушаева Наталья Ивановна, т. 320, к. 307",
0604012,Ц,К,2-наука (краткая),2 квартал 2025,не позднее 01.07.2025,,04022025,060401204022025,21.07.2025,01.07.2025,14.08.2025,01.07.2025,16.07.2025,18.07.2025,"Семухина Екатерина Григорьевна, т. 418, к. 303","Трушаева Наталья Ивановна, т. 320, к. 307",
0604012,Ц,К,2-наука (краткая),3 квартал 2025,не позднее 26.09.2025,,04032025,060401204032025,20.10.2025,01.10.2025,14.11.2025,01.10.2025,15.10.2025,17.10.2025,"Семухина Екатерина Григорьевна, т. 418, к. 304","Трушаева Наталья Ивановна, т. 320, к. 307",
0604012,Ц,К,2-наука (краткая),4 квартал 2025,не позднее 26.12.2025,,04042025,060401204042025,20.01.2026,01.01.2026,13.02.2026,01.01.2026,17.01.2026,19.01.2026,"Семухина Екатерина Григорьевна, т. 418, к. 305","Трушаева Наталья Ивановна, т. 320, к. 307",
